step	cost_avg	cost_best	solution_best
0	36.2203	25.4012	{x1:5, y1:2, x2:5, y2:3, x3:9, y3:6}
1	34.6644	24.4596	{x1:2, y1:2, x2:4, y2:5, x3:7, y3:6}
2	33.3336	24.1247	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:5}
3	32.8663	24.0416	{x1:3, y1:3, x2:4, y2:4, x3:5, y3:5}
4	31.0063	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:5, y3:5}
5	29.0189	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
6	27.8876	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
7	27.2506	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
8	26.097	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
9	26.221	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
10	25.9173	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
11	25.6078	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
12	25.1592	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
13	25.4734	24.0416	{x1:2, y1:2, x2:3, y2:3, x3:6, y3:6}
