step	cost_avg	cost_best	solution_best
0	21.5118	10.8191	{x1:2, y1:4, x2:3, y2:5, x3:6, y3:8}
1	20.0732	10.67	{x1:5, y1:4, x2:7, y2:6, x3:7, y3:8}
2	19.0144	9.89949	{x1:3, y1:3, x2:5, y2:5, x3:6, y3:6}
3	17.8629	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
4	16.8076	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
5	16.3081	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
6	15.9171	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
7	15.1389	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
8	14.3471	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
9	13.8377	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
10	12.9927	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
11	12.323	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
12	12.1035	9.89949	{x1:2, y1:2, x2:5, y2:5, x3:6, y3:6}
